Policy Parameter,Year,Value
rate1,2022,0.00
rate2,2022,0.15
rate3,2022,0.20
rate4,2022,0.25
rate5,2022,0.32
rate6,2022,0.37
rate7,2022,0.40
tbrk1,2022,19200
tbrk2,2022,48000
tbrk3,2022,72000
tbrk4,2022,108000
tbrk5,2022,144000
tbrk6,2022,4800000
tbrk7,2022,9.00E+99
