,weight_2022,citax_2022,Net_Income_2022,weight_ref_2022,citax_ref_2022,Net_Income_ref_2022,weight_ref_2023,citax_ref_2023,Net_Income_ref_2023,weight_ref_2024,citax_ref_2024,Net_Income_ref_2024,weight_ref_2025,citax_ref_2025,Net_Income_ref_2025,weight_ref_2026,citax_ref_2026,Net_Income_ref_2026,weight_ref_2027,citax_ref_2027,Net_Income_ref_2027,weight_ref_2028,citax_ref_2028,Net_Income_ref_2028,weight_ref_2029,citax_ref_2029,Net_Income_ref_2029,weight_ref_2030,citax_ref_2030,Net_Income_ref_2030,ETR,ETR_ref
14,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,nan,nan
15,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,nan,nan
16,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,0.0000,0.0000
17,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,0.0000,0.0000
18,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,0.0667,0.0667
19,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,0.0455,0.0455
20,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,0.0741,0.0741
21,"1,337.0000",2.0000,32.0000,"1,337.0000",2.0000,32.0000,"1,337.0000",2.0000,32.0000,"1,337.0000",2.0000,32.0000,"1,337.0000",2.0000,32.0000,"1,337.0000",2.0000,32.0000,"1,337.0000",2.0000,32.0000,"1,337.0000",2.0000,32.0000,"1,337.0000",2.0000,32.0000,"1,337.0000",2.0000,32.0000,0.0625,0.0625
22,"1,338.0000",3.0000,38.0000,"1,338.0000",3.0000,38.0000,"1,338.0000",3.0000,38.0000,"1,338.0000",3.0000,38.0000,"1,338.0000",3.0000,38.0000,"1,338.0000",3.0000,38.0000,"1,338.0000",3.0000,38.0000,"1,338.0000",3.0000,38.0000,"1,338.0000",3.0000,38.0000,"1,338.0000",3.0000,38.0000,0.0789,0.0789
23,"1,337.0000",4.0000,42.0000,"1,337.0000",4.0000,42.0000,"1,337.0000",4.0000,42.0000,"1,337.0000",4.0000,42.0000,"1,337.0000",4.0000,42.0000,"1,337.0000",4.0000,42.0000,"1,337.0000",4.0000,42.0000,"1,337.0000",4.0000,42.0000,"1,337.0000",4.0000,42.0000,"1,337.0000",4.0000,42.0000,0.0952,0.0952
24,"1,338.0000",5.0000,48.0000,"1,338.0000",5.0000,48.0000,"1,338.0000",5.0000,48.0000,"1,338.0000",5.0000,48.0000,"1,338.0000",5.0000,48.0000,"1,338.0000",5.0000,48.0000,"1,338.0000",5.0000,48.0000,"1,338.0000",5.0000,48.0000,"1,338.0000",5.0000,48.0000,"1,338.0000",5.0000,48.0000,0.1042,0.1042
25,"1,337.0000",6.0000,53.0000,"1,337.0000",6.0000,53.0000,"1,337.0000",6.0000,53.0000,"1,337.0000",6.0000,53.0000,"1,337.0000",6.0000,53.0000,"1,337.0000",6.0000,53.0000,"1,337.0000",6.0000,53.0000,"1,337.0000",6.0000,53.0000,"1,337.0000",6.0000,53.0000,"1,337.0000",6.0000,53.0000,0.1132,0.1132
26,"1,338.0000",7.0000,58.0000,"1,338.0000",7.0000,58.0000,"1,338.0000",7.0000,58.0000,"1,338.0000",7.0000,58.0000,"1,338.0000",7.0000,58.0000,"1,338.0000",7.0000,58.0000,"1,338.0000",7.0000,58.0000,"1,338.0000",7.0000,58.0000,"1,338.0000",7.0000,58.0000,"1,338.0000",7.0000,58.0000,0.1207,0.1207
27,"1,337.0000",7.0000,62.0000,"1,337.0000",7.0000,62.0000,"1,337.0000",7.0000,62.0000,"1,337.0000",7.0000,62.0000,"1,337.0000",7.0000,62.0000,"1,337.0000",7.0000,62.0000,"1,337.0000",7.0000,62.0000,"1,337.0000",7.0000,62.0000,"1,337.0000",7.0000,62.0000,"1,337.0000",7.0000,62.0000,0.1129,0.1129
28,"1,338.0000",8.0000,66.0000,"1,338.0000",8.0000,66.0000,"1,338.0000",8.0000,66.0000,"1,338.0000",8.0000,66.0000,"1,338.0000",8.0000,66.0000,"1,338.0000",8.0000,66.0000,"1,338.0000",8.0000,66.0000,"1,338.0000",8.0000,66.0000,"1,338.0000",8.0000,66.0000,"1,338.0000",8.0000,66.0000,0.1212,0.1212
29,"1,337.0000",9.0000,69.0000,"1,337.0000",9.0000,69.0000,"1,337.0000",9.0000,69.0000,"1,337.0000",9.0000,69.0000,"1,337.0000",9.0000,69.0000,"1,337.0000",9.0000,69.0000,"1,337.0000",9.0000,69.0000,"1,337.0000",9.0000,69.0000,"1,337.0000",9.0000,69.0000,"1,337.0000",9.0000,69.0000,0.1304,0.1304
30,"1,338.0000",10.0000,73.0000,"1,338.0000",10.0000,73.0000,"1,338.0000",10.0000,73.0000,"1,338.0000",10.0000,73.0000,"1,338.0000",10.0000,73.0000,"1,338.0000",10.0000,73.0000,"1,338.0000",10.0000,73.0000,"1,338.0000",10.0000,73.0000,"1,338.0000",10.0000,73.0000,"1,338.0000",10.0000,73.0000,0.1370,0.1370
