Year,GDP_Nominal
2022,8723.117
2023,11752.138
2024,15501.351
2025,19764.918
2026,24070.512
2027,29084.512
2028,34591.679
2029,41141.63085
2030,48931.81937
2031,58197.08402
2032,69216.7312
