,2022,2023,2024,2025,2026,2027,2028,2029,2030
current_law_All,84.72,110.13,143.17,186.13,241.96,314.55,408.92,531.59,691.07
reform_All,70.09,91.11,118.45,153.98,200.18,260.23,338.30,439.79,571.72
